source_state,source_city,destination_state,destination_city,vehicle_type,charging_capacity_kW,distance_km,num_ev_stations_route,charger_power_kW,charging_capacity_kWh,charging_duration_hours
Tamil Nadu,Chennai,Tamil Nadu,Coimbatore,3W,150.0,16.0,36.0,22.0,20,0.91
Andhra Pradesh,Kurnool,Tamil Nadu,Vellore,2W,3.3,580.0,39.0,22.0,50,2.27
Andhra Pradesh,Guntur,Tamil Nadu,Salem,4W,100.0,364.0,12.0,3.3,50,15.15
Andhra Pradesh,Vijayawada,Tamil Nadu,Vellore,2W,150.0,538.0,12.0,11.0,40,3.64
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,3W,22.0,516.0,46.0,11.0,50,4.55
Andhra Pradesh,Tirupati,Andhra Pradesh,Vijayawada,3W,150.0,120.0,43.0,50.0,30,0.6
Tamil Nadu,Coimbatore,Tamil Nadu,Madurai,Bus,3.3,518.0,17.0,11.0,75,6.82
Andhra Pradesh,Nellore,Tamil Nadu,Chennai,2W,11.0,48.0,19.0,7.4,40,5.41
Andhra Pradesh,Guntur,Tamil Nadu,Chennai,2W,100.0,239.0,27.0,7.4,40,5.41
Andhra Pradesh,Nellore,Andhra Pradesh,Tirupati,3W,100.0,248.0,25.0,22.0,30,1.36
Andhra Pradesh,Kurnool,Tamil Nadu,Coimbatore,4W,100.0,502.0,39.0,100.0,20,0.2
Andhra Pradesh,Kurnool,Tamil Nadu,Tirupati,2W,11.0,209.0,25.0,50.0,50,1.0
Tamil Nadu,Vellore,Tamil Nadu,Madurai,3W,150.0,290.0,44.0,11.0,60,5.45
Tamil Nadu,Coimbatore,Andhra Pradesh,Vijayawada,2W,22.0,252.0,47.0,7.4,20,2.7
Tamil Nadu,Salem,Tamil Nadu,Salem,3W,7.2,385.0,45.0,22.0,50,2.27
Andhra Pradesh,Nellore,Andhra Pradesh,Guntur,Bus,3.3,313.0,23.0,3.3,20,6.06
Andhra Pradesh,Nellore,Andhra Pradesh,Tirupati,4W,3.3,425.0,26.0,22.0,75,3.41
Andhra Pradesh,Tirupati,Tamil Nadu,Vellore,Bus,150.0,10.0,25.0,3.3,60,18.18
Tamil Nadu,Madurai,Andhra Pradesh,Nellore,Bus,7.2,306.0,17.0,7.4,40,5.41
Tamil Nadu,Madurai,Tamil Nadu,Chennai,2W,50.0,491.0,34.0,22.0,30,1.36
Tamil Nadu,Chennai,Andhra Pradesh,Tirupati,2W,3.3,176.0,23.0,11.0,20,1.82
Tamil Nadu,Madurai,Andhra Pradesh,Guntur,2W,50.0,76.0,49.0,11.0,50,4.55
Tamil Nadu,Vellore,Tamil Nadu,Madurai,4W,100.0,578.0,22.0,100.0,75,0.75
Tamil Nadu,Coimbatore,Tamil Nadu,Vellore,2W,11.0,211.0,33.0,7.4,50,6.76
Andhra Pradesh,Vijayawada,Tamil Nadu,Vellore,2W,7.2,487.0,32.0,50.0,30,0.6
Tamil Nadu,Madurai,Andhra Pradesh,Kurnool,4W,22.0,125.0,26.0,3.3,20,6.06
Tamil Nadu,Vellore,Tamil Nadu,Vellore,Bus,100.0,173.0,7.0,50.0,20,0.4
Andhra Pradesh,Vijayawada,Tamil Nadu,Vellore,Bus,100.0,384.0,31.0,100.0,20,0.2
Tamil Nadu,Coimbatore,Andhra Pradesh,Tirupati,Bus,150.0,392.0,1.0,50.0,50,1.0
Andhra Pradesh,Vijayawada,Andhra Pradesh,Kurnool,3W,7.2,599.0,48.0,22.0,50,2.27
Tamil Nadu,Madurai,Andhra Pradesh,Nellore,Bus,3.3,97.0,10.0,3.3,75,22.73
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,4W,50.0,344.0,18.0,100.0,20,0.2
Andhra Pradesh,Nellore,Tamil Nadu,Nellore,Bus,3.3,428.0,5.0,50.0,75,1.5
Tamil Nadu,Salem,Tamil Nadu,Vellore,4W,7.2,456.0,9.0,100.0,20,0.2
Andhra Pradesh,Kurnool,Andhra Pradesh,Guntur,3W,150.0,514.0,25.0,11.0,40,3.64
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,4W,22.0,105.0,43.0,3.3,60,18.18
Tamil Nadu,Coimbatore,Andhra Pradesh,Tirupati,3W,11.0,452.0,20.0,50.0,30,0.6
Andhra Pradesh,Vijayawada,Andhra Pradesh,Nellore,4W,150.0,142.0,47.0,100.0,60,0.6
Tamil Nadu,Chennai,Tamil Nadu,Madurai,2W,3.3,12.0,22.0,100.0,40,0.4
Tamil Nadu,Salem,Tamil Nadu,Kurnool,4W,22.0,118.0,35.0,11.0,50,4.55
Tamil Nadu,Vellore,Tamil Nadu,Salem,Bus,150.0,589.0,12.0,50.0,60,1.2
Andhra Pradesh,Vijayawada,Andhra Pradesh,Guntur,3W,22.0,340.0,43.0,7.4,20,2.7
Tamil Nadu,Chennai,Tamil Nadu,Salem,3W,150.0,562.0,29.0,7.4,30,4.05
Andhra Pradesh,Tirupati,Andhra Pradesh,Nellore,Bus,3.3,310.0,26.0,100.0,60,0.6
Andhra Pradesh,Nellore,Tamil Nadu,Coimbatore,4W,3.3,503.0,15.0,11.0,60,5.45
Andhra Pradesh,Guntur,Tamil Nadu,Vellore,4W,50.0,70.0,25.0,7.4,20,2.7
Tamil Nadu,Vellore,Tamil Nadu,Coimbatore,3W,150.0,432.0,14.0,7.4,20,2.7
Tamil Nadu,Coimbatore,Andhra Pradesh,Tirupati,Bus,11.0,552.0,43.0,22.0,40,1.82
Tamil Nadu,Chennai,Andhra Pradesh,Kurnool,3W,11.0,493.0,42.0,11.0,60,5.45
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,Bus,7.2,241.0,39.0,11.0,50,4.55
Andhra Pradesh,Vijayawada,Tamil Nadu,Vellore,2W,100.0,36.0,23.0,50.0,30,0.6
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,Bus,7.2,142.0,9.0,100.0,40,0.4
Tamil Nadu,Coimbatore,Tamil Nadu,Vellore,4W,22.0,337.0,25.0,100.0,20,0.2
Andhra Pradesh,Tirupati,Andhra Pradesh,Guntur,4W,50.0,142.0,29.0,3.3,50,15.15
Andhra Pradesh,Coimbatore,Andhra Pradesh,Vijayawada,4W,22.0,481.0,42.0,100.0,75,0.75
Tamil Nadu,Salem,Tamil Nadu,Coimbatore,4W,7.2,310.0,2.0,50.0,75,1.5
Andhra Pradesh,Kurnool,Andhra Pradesh,Tirupati,Bus,3.3,304.0,35.0,7.4,75,10.14
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,2W,3.3,290.0,25.0,7.4,40,5.41
Andhra Pradesh,Tirupati,Tamil Nadu,Salem,Bus,100.0,497.0,34.0,3.3,20,6.06
Andhra Pradesh,Vijayawada,Tamil Nadu,Tirupati,2W,3.3,419.0,19.0,50.0,20,0.4
Tamil Nadu,Coimbatore,Tamil Nadu,Vellore,4W,3.3,140.0,31.0,11.0,50,4.55
Andhra Pradesh,Vijayawada,Tamil Nadu,Nellore,2W,11.0,376.0,41.0,3.3,20,6.06
Andhra Pradesh,Vijayawada,Andhra Pradesh,Guntur,Bus,7.2,205.0,28.0,22.0,60,2.73
Andhra Pradesh,Nellore,Andhra Pradesh,Tirupati,Bus,22.0,174.0,11.0,11.0,20,1.82
Tamil Nadu,Chennai,Tamil Nadu,Tirupati,2W,100.0,76.0,13.0,11.0,50,4.55
Tamil Nadu,Madurai,Tamil Nadu,Madurai,2W,22.0,350.0,7.0,3.3,75,22.73
Andhra Pradesh,Vijayawada,Tamil Nadu,Madurai,2W,3.3,427.0,9.0,50.0,75,1.5
Andhra Pradesh,Tirupati,Tamil Nadu,Chennai,2W,50.0,144.0,14.0,50.0,40,0.8
Tamil Nadu,Coimbatore,Tamil Nadu,Madurai,2W,22.0,55.0,6.0,11.0,75,6.82
Tamil Nadu,Madurai,Tamil Nadu,Salem,Bus,3.3,299.0,45.0,100.0,30,0.3
Andhra Pradesh,Kurnool,Andhra Pradesh,Guntur,3W,7.2,53.0,48.0,100.0,60,0.6
Andhra Pradesh,Vijayawada,Tamil Nadu,Vellore,Bus,7.2,370.0,30.0,50.0,30,0.6
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,4W,150.0,498.0,40.0,7.4,60,8.11
Andhra Pradesh,Vijayawada,Tamil Nadu,Salem,2W,22.0,422.0,38.0,7.4,30,4.05
Andhra Pradesh,Vijayawada,Tamil Nadu,Vellore,4W,7.2,283.0,25.0,50.0,20,0.4
Tamil Nadu,Madurai,Tamil Nadu,Coimbatore,2W,100.0,493.0,17.0,3.3,40,12.12
Andhra Pradesh,Guntur,Tamil Nadu,Chennai,2W,100.0,123.0,25.0,11.0,75,6.82
Andhra Pradesh,Guntur,Andhra Pradesh,Kurnool,4W,11.0,304.0,8.0,50.0,50,1.0
Tamil Nadu,Madurai,Tamil Nadu,Vellore,2W,50.0,417.0,30.0,50.0,50,1.0
Tamil Nadu,Chennai,Andhra Pradesh,Kurnool,2W,22.0,304.0,31.0,11.0,75,6.82
Tamil Nadu,Coimbatore,Tamil Nadu,Madurai,3W,22.0,69.0,45.0,11.0,20,1.82
Andhra Pradesh,Guntur,Andhra Pradesh,Kurnool,2W,100.0,172.0,25.0,11.0,40,3.64
Andhra Pradesh,Kurnool,Andhra Pradesh,Nellore,2W,7.2,426.0,8.0,22.0,60,2.73
Tamil Nadu,Chennai,Andhra Pradesh,Tirupati,Bus,50.0,186.0,41.0,22.0,75,3.41
Tamil Nadu,Salem,Tamil Nadu,Vellore,2W,100.0,341.0,13.0,50.0,30,0.6
Andhra Pradesh,Guntur,Andhra Pradesh,Nellore,Bus,100.0,154.0,24.0,11.0,60,5.45
Andhra Pradesh,Guntur,Tamil Nadu,Madurai,Bus,100.0,209.0,21.0,11.0,20,1.82
Andhra Pradesh,Guntur,Andhra Pradesh,Tirupati,Bus,100.0,304.0,32.0,100.0,75,0.75
Tamil Nadu,Chennai,Andhra Pradesh,Kurnool,Bus,50.0,302.0,14.0,3.3,40,12.12
Tamil Nadu,Salem,Andhra Pradesh,Kurnool,4W,22.0,330.0,35.0,50.0,30,0.6
Tamil Nadu,Vellore,Tamil Nadu,Coimbatore,3W,11.0,92.0,31.0,11.0,50,4.55
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,Bus,22.0,458.0,47.0,3.3,60,18.18
Tamil Nadu,Vellore,Tamil Nadu,Coimbatore,4W,7.2,189.0,36.0,7.4,50,6.76
Andhra Pradesh,Guntur,Andhra Pradesh,Nellore,3W,7.2,84.0,25.0,7.4,50,6.76
Tamil Nadu,Madurai,Tamil Nadu,Salem,Bus,11.0,71.0,7.0,7.4,40,5.41
Andhra Pradesh,Vellore,Andhra Pradesh,Tirupati,Bus,150.0,272.0,46.0,100.0,60,0.6
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,3W,150.0,151.0,9.0,100.0,20,0.2
Tamil Nadu,Coimbatore,Tamil Nadu,Chennai,2W,3.3,71.0,20.0,11.0,20,1.82
Andhra Pradesh,Guntur,Andhra Pradesh,Kurnool,4W,100.0,583.0,43.0,22.0,60,2.73
Andhra Pradesh,Nellore,Andhra Pradesh,Tirupati,3W,7.2,311.0,48.0,100.0,30,0.3
Andhra Pradesh,Nellore,Tamil Nadu,Coimbatore,Bus,150.0,200.0,29.0,11.0,20,1.82
Tamil Nadu,Coimbatore,Tamil Nadu,Coimbatore,Bus,3.3,494.0,8.0,11.0,20,1.82
Andhra Pradesh,Vijayawada,Tamil Nadu,Coimbatore,4W,7.2,379.0,34.0,50.0,75,1.5
Tamil Nadu,Vellore,Andhra Pradesh,Vijayawada,3W,3.3,590.0,8.0,3.3,20,6.06
Tamil Nadu,Coimbatore,Andhra Pradesh,Guntur,2W,3.3,286.0,10.0,100.0,30,0.3
Tamil Nadu,Salem,Tamil Nadu,Madurai,Bus,150.0,382.0,19.0,50.0,50,1.0
Andhra Pradesh,Nellore,Tamil Nadu,Chennai,2W,3.3,437.0,15.0,3.3,30,9.09
Tamil Nadu,Vellore,Tamil Nadu,Coimbatore,2W,50.0,342.0,47.0,100.0,30,0.3
Andhra Pradesh,Nellore,Andhra Pradesh,Tirupati,3W,50.0,150.0,14.0,3.3,50,15.15
Tamil Nadu,Vellore,Andhra Pradesh,Guntur,3W,22.0,328.0,7.0,100.0,75,0.75
Tamil Nadu,Chennai,Tamil Nadu,Chennai,Bus,7.2,26.0,4.0,50.0,20,0.4
Andhra Pradesh,Coimbatore,Tamil Nadu,Madurai,2W,3.3,33.0,8.0,50.0,40,0.8
Andhra Pradesh,Vijayawada,Tamil Nadu,Salem,3W,50.0,147.0,17.0,11.0,50,4.55
Tamil Nadu,Vellore,Andhra Pradesh,Vijayawada,4W,3.3,342.0,23.0,11.0,75,6.82
Tamil Nadu,Salem,Andhra Pradesh,Tirupati,4W,3.3,144.0,25.0,22.0,60,2.73
Andhra Pradesh,Vijayawada,Tamil Nadu,Vellore,3W,11.0,505.0,28.0,11.0,50,4.55
Tamil Nadu,Vellore,Tamil Nadu,Chennai,3W,150.0,302.0,32.0,11.0,20,1.82
Andhra Pradesh,Kurnool,Tamil Nadu,Madurai,4W,150.0,171.0,40.0,3.3,30,9.09
Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Bus,7.2,165.0,4.0,50.0,60,1.2
Tamil Nadu,Salem,Andhra Pradesh,Kurnool,Bus,50.0,570.0,36.0,7.4,30,4.05
Tamil Nadu,Coimbatore,Tamil Nadu,Coimbatore,2W,22.0,590.0,17.0,11.0,30,2.73
Andhra Pradesh,Coimbatore,Tamil Nadu,Vellore,4W,150.0,487.0,30.0,50.0,75,1.5
Andhra Pradesh,Coimbatore,Andhra Pradesh,Nellore,4W,7.2,505.0,3.0,3.3,20,6.06
Tamil Nadu,Chennai,Andhra Pradesh,Kurnool,4W,50.0,234.0,45.0,22.0,40,1.82
Tamil Nadu,Coimbatore,Andhra Pradesh,Tirupati,4W,150.0,57.0,43.0,11.0,40,3.64
Andhra Pradesh,Guntur,Andhra Pradesh,Tirupati,2W,100.0,380.0,5.0,100.0,40,0.4
Andhra Pradesh,Vijayawada,Andhra Pradesh,Kurnool,4W,3.3,287.0,45.0,11.0,30,2.73
Tamil Nadu,Vellore,Andhra Pradesh,Guntur,3W,11.0,473.0,49.0,3.3,40,12.12
Andhra Pradesh,Nellore,Tamil Nadu,Salem,4W,3.3,30.0,26.0,22.0,60,2.73
Andhra Pradesh,Nellore,Tamil Nadu,Chennai,Bus,11.0,294.0,20.0,100.0,50,0.5
Tamil Nadu,Coimbatore,Andhra Pradesh,Kurnool,Bus,3.3,129.0,25.0,22.0,30,1.36
Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,2W,22.0,513.0,26.0,11.0,50,4.55
Andhra Pradesh,Kurnool,Tamil Nadu,Salem,4W,22.0,41.0,9.0,50.0,75,1.5
Tamil Nadu,Salem,Tamil Nadu,Kurnool,2W,11.0,409.0,12.0,11.0,75,6.82
Tamil Nadu,Coimbatore,Tamil Nadu,Vellore,2W,100.0,405.0,29.0,3.3,20,6.06
Tamil Nadu,Chennai,Tamil Nadu,Madurai,4W,7.2,43.0,48.0,100.0,40,0.4
Andhra Pradesh,Tirupati,Tamil Nadu,Salem,3W,22.0,344.0,25.0,50.0,40,0.8
Andhra Pradesh,Tirupati,Tamil Nadu,Coimbatore,Bus,150.0,318.0,17.0,11.0,50,4.55
Tamil Nadu,Vellore,Tamil Nadu,Chennai,2W,22.0,225.0,47.0,22.0,60,2.73
Tamil Nadu,Salem,Andhra Pradesh,Tirupati,2W,100.0,211.0,22.0,50.0,50,1.0
Tamil Nadu,Salem,Tamil Nadu,Tirupati,3W,50.0,151.0,14.0,100.0,50,0.5
Tamil Nadu,Vellore,Tamil Nadu,Madurai,3W,7.2,63.0,36.0,7.4,60,8.11
Andhra Pradesh,Nellore,Andhra Pradesh,Kurnool,Bus,11.0,320.0,15.0,22.0,50,2.27
Tamil Nadu,Salem,Andhra Pradesh,Vijayawada,2W,50.0,391.0,5.0,3.3,40,12.12
Tamil Nadu,Vellore,Andhra Pradesh,Kurnool,2W,100.0,258.0,4.0,11.0,40,3.64
Andhra Pradesh,Tirupati,Andhra Pradesh,Tirupati,4W,11.0,469.0,14.0,100.0,60,0.6
Tamil Nadu,Salem,Tamil Nadu,Madurai,Bus,3.3,271.0,23.0,100.0,40,0.4
Andhra Pradesh,Vijayawada,Andhra Pradesh,Nellore,3W,50.0,120.0,17.0,100.0,50,0.5
Andhra Pradesh,Guntur,Tamil Nadu,Salem,3W,7.2,494.0,13.0,22.0,30,1.36
Tamil Nadu,Vellore,Andhra Pradesh,Nellore,Bus,3.3,85.0,9.0,50.0,60,1.2
Tamil Nadu,Vellore,Andhra Pradesh,Vijayawada,2W,3.3,369.0,28.0,3.3,50,15.15
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,4W,100.0,300.0,10.0,3.3,50,15.15
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,2W,50.0,304.0,25.0,22.0,60,2.73
Tamil Nadu,Madurai,Tamil Nadu,Madurai,4W,11.0,223.0,1.0,22.0,75,3.41
Andhra Pradesh,Vijayawada,Andhra Pradesh,Nellore,4W,22.0,508.0,6.0,3.3,30,9.09
Tamil Nadu,Salem,Andhra Pradesh,Vijayawada,Bus,11.0,84.0,49.0,11.0,20,1.82
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,2W,3.3,445.0,40.0,50.0,50,1.0
Andhra Pradesh,Guntur,Andhra Pradesh,Kurnool,Bus,7.2,274.0,5.0,100.0,20,0.2
Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,Bus,7.2,234.0,38.0,3.3,30,9.09
Tamil Nadu,Chennai,Andhra Pradesh,Vijayawada,4W,11.0,320.0,11.0,11.0,60,5.45
Andhra Pradesh,Guntur,Andhra Pradesh,Tirupati,4W,100.0,300.0,21.0,11.0,50,4.55
Andhra Pradesh,Guntur,Andhra Pradesh,Vijayawada,4W,22.0,436.0,6.0,50.0,60,1.2
Andhra Pradesh,Coimbatore,Tamil Nadu,Salem,2W,11.0,439.0,35.0,100.0,30,0.3
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,4W,11.0,208.0,2.0,3.3,20,6.06
Andhra Pradesh,Vijayawada,Tamil Nadu,Madurai,4W,50.0,283.0,24.0,100.0,20,0.2
Tamil Nadu,Vellore,Tamil Nadu,Chennai,3W,3.3,442.0,33.0,3.3,75,22.73
Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,4W,50.0,565.0,16.0,50.0,40,0.8
Tamil Nadu,Coimbatore,Andhra Pradesh,Kurnool,2W,7.2,25.0,41.0,100.0,30,0.3
Andhra Pradesh,Vijayawada,Andhra Pradesh,Kurnool,Bus,100.0,519.0,18.0,11.0,75,6.82
Tamil Nadu,Salem,Tamil Nadu,Madurai,3W,150.0,497.0,18.0,7.4,30,4.05
Tamil Nadu,Madurai,Andhra Pradesh,Guntur,3W,50.0,582.0,24.0,50.0,20,0.4
Andhra Pradesh,Kurnool,Tamil Nadu,Tirupati,Bus,150.0,265.0,22.0,22.0,20,0.91
Andhra Pradesh,Tirupati,Tamil Nadu,Vijayawada,4W,7.2,544.0,13.0,100.0,75,0.75
Tamil Nadu,Vellore,Andhra Pradesh,Guntur,Bus,22.0,480.0,36.0,7.4,50,6.76
Andhra Pradesh,Nellore,Tamil Nadu,Coimbatore,2W,11.0,294.0,29.0,11.0,20,1.82
Andhra Pradesh,Guntur,Tamil Nadu,Vellore,2W,100.0,222.0,13.0,7.4,60,8.11
Tamil Nadu,Madurai,Tamil Nadu,Salem,3W,100.0,304.0,31.0,22.0,30,1.36
Andhra Pradesh,Guntur,Tamil Nadu,Coimbatore,4W,150.0,112.0,33.0,3.3,60,18.18
Tamil Nadu,Chennai,Tamil Nadu,Coimbatore,Bus,11.0,115.0,7.0,100.0,40,0.4
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,3W,100.0,491.0,44.0,3.3,30,9.09
Andhra Pradesh,Vijayawada,Andhra Pradesh,Nellore,Bus,3.3,21.0,38.0,22.0,20,0.91
Andhra Pradesh,Guntur,Tamil Nadu,Vellore,3W,3.3,179.0,49.0,7.4,20,2.7
Andhra Pradesh,Nellore,Tamil Nadu,Salem,2W,150.0,151.0,25.0,7.4,30,4.05
Andhra Pradesh,Tirupati,Andhra Pradesh,Tirupati,2W,50.0,145.0,30.0,100.0,40,0.4
Andhra Pradesh,Guntur,Tamil Nadu,Vellore,3W,11.0,412.0,13.0,11.0,60,5.45
Andhra Pradesh,Nellore,Tamil Nadu,Coimbatore,2W,100.0,252.0,31.0,50.0,50,1.0
Tamil Nadu,Coimbatore,Tamil Nadu,Coimbatore,Bus,11.0,313.0,5.0,22.0,50,2.27
Andhra Pradesh,Kurnool,Andhra Pradesh,Vijayawada,2W,22.0,284.0,7.0,11.0,40,3.64
Tamil Nadu,Chennai,Tamil Nadu,Chennai,3W,22.0,264.0,18.0,50.0,50,1.0
Andhra Pradesh,Nellore,Andhra Pradesh,Tirupati,3W,22.0,276.0,22.0,100.0,50,0.5
Andhra Pradesh,Vijayawada,Andhra Pradesh,Vijayawada,4W,100.0,557.0,23.0,100.0,40,0.4
Tamil Nadu,Salem,Tamil Nadu,Coimbatore,4W,11.0,452.0,36.0,3.3,75,22.73
Andhra Pradesh,Vijayawada,Andhra Pradesh,Tirupati,2W,11.0,597.0,29.0,11.0,75,6.82
Andhra Pradesh,Kurnool,Tamil Nadu,Madurai,2W,50.0,574.0,14.0,7.4,20,2.7
Tamil Nadu,Coimbatore,Tamil Nadu,Salem,3W,7.2,304.0,25.0,3.3,60,18.18
Tamil Nadu,Chennai,Andhra Pradesh,Guntur,Bus,22.0,325.0,20.0,7.4,40,5.41
Tamil Nadu,Vellore,Tamil Nadu,Madurai,4W,11.0,52.0,32.0,7.4,20,2.7
Andhra Pradesh,Kurnool,Andhra Pradesh,Nellore,Bus,22.0,17.0,35.0,100.0,40,0.4
Tamil Nadu,Chennai,Andhra Pradesh,Tirupati,2W,50.0,388.0,33.0,3.3,30,9.09
Andhra Pradesh,Tirupati,Andhra Pradesh,Kurnool,2W,7.2,249.0,17.0,50.0,30,0.6
Andhra Pradesh,Kurnool,Andhra Pradesh,Nellore,3W,50.0,598.0,33.0,22.0,60,2.73
Andhra Pradesh,Guntur,Tamil Nadu,Guntur,4W,150.0,324.0,9.0,7.4,40,5.41
Tamil Nadu,Salem,Andhra Pradesh,Tirupati,2W,22.0,403.0,16.0,7.4,40,5.41
Andhra Pradesh,Kurnool,Andhra Pradesh,Vijayawada,3W,100.0,165.0,30.0,50.0,60,1.2
Andhra Pradesh,Guntur,Tamil Nadu,Salem,2W,100.0,88.0,11.0,100.0,60,0.6
Tamil Nadu,Chennai,Tamil Nadu,Chennai,Bus,7.2,488.0,25.0,22.0,40,1.82
Andhra Pradesh,Guntur,Andhra Pradesh,Tirupati,3W,7.2,486.0,43.0,7.4,20,2.7
Andhra Pradesh,Vijayawada,Andhra Pradesh,Guntur,3W,50.0,455.0,1.0,3.3,60,18.18
Andhra Pradesh,Vijayawada,Tamil Nadu,Chennai,Bus,3.3,286.0,22.0,11.0,75,6.82
Tamil Nadu,Chennai,Tamil Nadu,Madurai,3W,150.0,189.0,46.0,22.0,40,1.82
Andhra Pradesh,Nellore,Andhra Pradesh,Vijayawada,Bus,22.0,226.0,41.0,11.0,20,1.82
Andhra Pradesh,Vijayawada,Tamil Nadu,Kurnool,2W,22.0,249.0,34.0,100.0,60,0.6
Tamil Nadu,Coimbatore,Tamil Nadu,Coimbatore,Bus,50.0,234.0,16.0,7.4,75,10.14
Andhra Pradesh,Nellore,Andhra Pradesh,Guntur,2W,22.0,343.0,24.0,11.0,50,4.55
Andhra Pradesh,Coimbatore,Andhra Pradesh,Vijayawada,Bus,7.2,232.0,25.0,11.0,20,1.82
Tamil Nadu,Salem,Andhra Pradesh,Vijayawada,Bus,3.3,507.0,34.0,50.0,30,0.6
Andhra Pradesh,Tirupati,Andhra Pradesh,Vijayawada,4W,3.3,15.0,2.0,100.0,50,0.5
Tamil Nadu,Madurai,Andhra Pradesh,Vijayawada,Bus,150.0,358.0,44.0,50.0,30,0.6
Andhra Pradesh,Guntur,Tamil Nadu,Madurai,4W,22.0,499.0,14.0,22.0,20,0.91
Andhra Pradesh,Guntur,Tamil Nadu,Madurai,4W,7.2,304.0,42.0,3.3,75,22.73
Tamil Nadu,Vellore,Tamil Nadu,Coimbatore,Bus,100.0,335.0,38.0,3.3,50,15.15
Andhra Pradesh,Guntur,Tamil Nadu,Chennai,3W,150.0,304.0,23.0,50.0,75,1.5
Tamil Nadu,Chennai,Tamil Nadu,Chennai,Bus,11.0,474.0,34.0,50.0,50,1.0
Andhra Pradesh,Tirupati,Tamil Nadu,Madurai,2W,50.0,475.0,40.0,3.3,75,22.73
Tamil Nadu,Vellore,Tamil Nadu,Chennai,2W,7.2,412.0,37.0,22.0,30,1.36
Tamil Nadu,Salem,Andhra Pradesh,Kurnool,4W,3.3,293.0,32.0,22.0,40,1.82
Andhra Pradesh,Vijayawada,Andhra Pradesh,Nellore,3W,11.0,390.0,12.0,3.3,20,6.06
Tamil Nadu,Vellore,Tamil Nadu,Vellore,2W,3.3,166.0,40.0,3.3,60,18.18
Tamil Nadu,Salem,Tamil Nadu,Vellore,4W,100.0,83.0,32.0,100.0,30,0.3
Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,4W,11.0,298.0,2.0,7.4,40,5.41
Andhra Pradesh,Guntur,Tamil Nadu,Salem,2W,7.2,152.0,26.0,11.0,30,2.73
Andhra Pradesh,Nellore,Tamil Nadu,Chennai,3W,50.0,304.0,25.0,50.0,60,1.2
Tamil Nadu,Madurai,Andhra Pradesh,Kurnool,3W,3.3,563.0,48.0,50.0,30,0.6
Tamil Nadu,Madurai,Tamil Nadu,Chennai,3W,100.0,470.0,39.0,7.4,50,6.76
Andhra Pradesh,Coimbatore,Tamil Nadu,Madurai,Bus,22.0,141.0,36.0,50.0,50,1.0
Tamil Nadu,Chennai,Tamil Nadu,Chennai,4W,100.0,342.0,9.0,50.0,75,1.5
Andhra Pradesh,Vijayawada,Andhra Pradesh,Nellore,Bus,11.0,89.0,46.0,3.3,40,12.12
Tamil Nadu,Salem,Tamil Nadu,Salem,2W,150.0,304.0,29.0,7.4,20,2.7
Andhra Pradesh,Kurnool,Tamil Nadu,Coimbatore,4W,7.2,177.0,17.0,22.0,60,2.73
Tamil Nadu,Chennai,Tamil Nadu,Coimbatore,2W,3.3,563.0,25.0,50.0,60,1.2
Tamil Nadu,Chennai,Tamil Nadu,Salem,4W,22.0,534.0,16.0,11.0,40,3.64
Tamil Nadu,Coimbatore,Andhra Pradesh,Vijayawada,2W,150.0,275.0,38.0,100.0,50,0.5
Tamil Nadu,Coimbatore,Andhra Pradesh,Vijayawada,3W,11.0,317.0,6.0,50.0,20,0.4
Tamil Nadu,Madurai,Tamil Nadu,Vellore,2W,22.0,571.0,40.0,22.0,75,3.41
Andhra Pradesh,Vijayawada,Tamil Nadu,Chennai,3W,7.2,115.0,9.0,50.0,40,0.8
Tamil Nadu,Coimbatore,Tamil Nadu,Tirupati,4W,3.3,488.0,25.0,50.0,40,0.8
Tamil Nadu,Vellore,Tamil Nadu,Vellore,2W,50.0,318.0,45.0,50.0,60,1.2
Andhra Pradesh,Vijayawada,Andhra Pradesh,Vijayawada,3W,11.0,76.0,46.0,100.0,60,0.6
Tamil Nadu,Chennai,Tamil Nadu,Vellore,Bus,7.2,570.0,23.0,100.0,75,0.75
Tamil Nadu,Chennai,Andhra Pradesh,Vijayawada,4W,3.3,248.0,9.0,7.4,20,2.7
Tamil Nadu,Chennai,Andhra Pradesh,Kurnool,Bus,7.2,226.0,47.0,7.4,50,6.76
